Service Category Type,Organization,Program Name,Referral Process,Hours,Address,City,State,Zipcode,Phone,Website,Eligibility Requirements,Service Availability,Additional Information,Source,Service Area Zip Code
Legal and Immigration Services - Disability/advocacy services,Barbara Olson Center of Hope,"Helps individuals with developmental disabilities reach personal goals through individualized skill development, vocational opportunities and community service.",Call (815)-964-9275,Mon-Fri: 8:00 AM - 4:00 PM,3206 N Central Ave.,Rockford,IL,61101,(815)-964-9275,https://b-olsoncenterofhope.org/,Support services for individuals with disabilities; eligibility based on disability status and need.,,-,Rockford Resource Packet,61101
Government and Emergency Services - Non-emergency lines,Belvidere Non-Emergency,Public safety services,,Monday–Friday: 8:00 AM–4:30 PM,615 N Main St,Belvidere,IL,61008, (815) 544-9626,https://www.belvidereil.gov/police/,Eligibility based on medical need and residency within service area.,,,Rockford Resource Packet,61008
Government and Emergency Services - Elected officials/local government,Belvidere Township,Local government office offering a range of municipal services and referrals.,Call (815)-544-2027,"Mon-Fri: 8:30 AM - 12:00 PM, 1:00 PM - 4:30 PM",8200 Fairgrounds Rd.,Belvidere,IL,61008,(815)-544-2027,https://www.belvideretownship.org/,Local government services; available to residents of Belvidere Township.,-,-,Rockford Resource Packet,61008
Early Childhood and Developmental Services - Childcare and preschool services,Beyer Early Childhood Center,Early Learning Programs: Offers educational programs for young children to promote school readiness.,Call 815-966-3390,Mon-Fri: 8:45 AM - 3:30 PM,333 15th Ave,Rockford,IL,61104,815-966-3390,https://beyer.rps205.com/,Eligibility based on age (typically 3-5 years) and enrollment criteria.,,,Rockford Resource Packet,61104
Medical Services - General Medical Care,Boone Co. Health Department,Provides a range of public health services and education programs. Case management services are available for Boone County residents that meet certain criteria.,Call (815)-544-2951,Monday–Friday: 8:00 AM–5:00 PM,1204 Logan Ave.,Belvidere,IL,61008,(815)-544-2951,https://www.boonecountyil.gov/government/departments/health_department/index.php,Public health services,,-,Rockford Resource Packet,61008
Housing services - Shelter services,Boone County Housing Authority,Provides housing assistance services to help connect families in need with affordable housing.,Call (815)-544-0084 or apply on website: https://www.wchauthority.com/apply/,"Mon-Fri: 8:00 AM - 12:00 PM, 1:00 PM -  4:30 PM",2036 N State St.,Belvidere,IL,61008,(815)-544-0084,https://www.wchauthority.com/about/boone-county-housing-authority-board/,"Provides affordable housing; eligibility based on income, family size, and residency within Boone County.",,-,Rockford Resource Packet,61008
Child/Youth Education Services - After-school programs,Boys and Girls Club of Rockford,"After-school programs for youth with several areas of focus including arts, health & wellness, leadership, and workforce readiness.",Call (815)-972-5973,Monday–Friday: 2:00 PM–7:00 PM,1040 N. 2nd St. Ste 100,Rockford,IL,61107,(815)-972-5973,https://www.rgreatfutures.org/s/,Youth development programs; eligibility based on age (typically 6-18) and membership.,,-,Rockford Resource Packet,61107
Employment Services - Job training and placement services,Bridgeway,Vocational and job skills training services for both individuals with disabilities and the wider community.,"Call (309)-344-2323, fill out contact form on website",Not listed,7200 Clinton Rd.,Loves Park,IL,61111,(815) 962-8333,https://www.bway.org/locations/loves-park-greater-rockford-area/,Offers employment and developmental disability services for disabled individuals over the age of 18.,,-,Rockford Resource Packet,61111
Housing services - Housing assistance services,Carpenter's Place,"Provides a range of housing programs including transitional housing for women and veterans, as well as permanent supportive housing services.","Call (815)-964-4105, fill out contact form on website","Mon-Thu: 8:00 AM - 4:30 PM, Fri 8:00 AM - 2:00 PM",1149 Railroad Ave.,Rockford,IL,61104,(815)-964-4105,https://www.carpentersplace.org/,Support services for individuals experiencing homelessness; eligibility based on need and availability.,,-,Rockford Resource Packet,61104
Financial Services - Emergency financial services,Catholic Charities,"Emergency financial assistance for rent, mortgage, and utility payments, as well as referrals to other support services.",Fill out application on website: https://www.assistcc.org/,"Mon-Fri: 8:30 AM - 12:00 PM, 1:00 PM - 4:30 PM",555 Colman Center Dr.,Rockford,IL,61108,(815)-399-4300,https://catholiccharities.rockforddiocese.org/,Provides various support services; eligibility based on need and program criteria.,,-,Rockford Resource Packet,61108
Medical Services - General Vision Care,Center for Sight and Hearing,Specialized healthcare services for individuals with hearing and vision impairments.,"Call (888)-347-0811, fill out contact form on website",Mon-Fri: 8:00 AM - 4:30 PM,8038 Macintosh Ln.,Rockford,IL,61107,(815)-332-6800,https://cshni.org/,Provides services to individuals with hearing and vision impairments; eligibility based on specific impairments and need.,,-,Rockford Resource Packet,61107
Government and Emergency Services - Elected officials/local government,Cherry Valley Township,Local government office offering a range of municipal services and referrals.,Call (815)-332-3432,"Mon-Thu: 8:00 AM - 4:30 PM, Fri 8:00 AM - 4:00 PM",806 E. State Street,Cherry Valley,IL,61016,(815)-282-2600,https://www.cherryvalley.org/,Local government services; available to residents of Cherry Valley Township.,,-,Rockford Resource Packet,61016
Foster Care and Child Protection Services - Child abuse hotline,Child Abuse Hotline,Reporting line for suspected child abuse,Call 800-252-2873,24/7 reporting,406 E. Monroe St.,Springfield,IL,62701,1-800-252-2873,https://dcfs.illinois.gov/safe-kids/reporting.html,Available to all.,,"Handles complaints, concerns, inquiries, and suggestions made by youth served by the department. Provides support, coping resources, and crisis counseling.",Rockford Resource Packet,62701
